Radius(in miles),Latitude,Longitude
100.00,39.516158,-107.188317
100.00,39.554883,-103.890152
50.00,37.713633,-105.507409
50.00,37.735969,-102.976570
50.00,37.735969,-108.140144
25.00,37.852559,-106.803796
25.00,37.343959,-107.074471
25.00,37.352693,-104.415779
25.00,37.952861,-104.250984
25.00,40.630630,-105.602303
25.00,40.630630,-108.590584
25.00,40.597271,-102.526131
10.00,38.676329,-105.534875
10.00,38.496594,-105.362062
10.00,38.468643,-105.743837
10.00,37.527154,-103.881655
10.00,37.263124,-103.840456
10.00,37.140614,-103.612490
10.00,37.129666,-103.988771
10.00,37.142803,-102.217655
10.00,38.457890,-102.404423
10.00,38.724091,-102.239628
10.00,40.851216,-104.997196
10.00,40.859525,-108.106327
10.00,40.855370,-106.205692
10.00,38.462192,-108.699589
10.00,38.711233,-108.897343
10.00,37.151561,-108.853397
10.00,37.431250,-106.480351
10.00,37.155939,-106.524296
10.00,37.147182,-106.216679
5.00,38.177142,-104.702661
5.00,38.274845,-104.842958
5.00,38.406254,-105.101137
5.00,38.134557,-106.375551
5.00,38.225235,-106.224489
5.00,37.112146,-104.859438
5.00,37.074902,-102.461672
5.00,37.346143,-102.134829
5.00,38.106467,-102.134829
5.00,38.218762,-102.211733
5.00,38.365349,-102.170534
5.00,38.511639,-102.151308
5.00,40.273239,-102.154055
5.00,40.913513,-102.228212
5.00,40.890677,-102.942324
5.00,40.923890,-103.118105
5.00,40.923890,-104.744081
5.00,40.925965,-105.238466
5.00,40.925965,-105.977297
5.00,40.928040,-106.468935
5.00,40.925965,-107.823000
5.00,40.921814,-108.954592
5.00,40.254377,-108.949099
5.00,38.938048,-108.965578
5.00,38.503042,-108.962831
5.00,38.350273,-108.954592
5.00,38.199339,-108.962831
5.00,37.094622,-107.529116
